ID,Squares,No_of_rooms,Address,Price,One_Sq
0,97,3.0,Beograd Opština Novi Beograd,237000,1735.3775474934005
1,70,3.0,Beograd Opština Novi Beograd,216000,1735.3775474934005
2,120,5+,Beograd Opština Zvezdara,169000,1461.4519261140167
3,87,4.0,Beograd Opština Voždovac,208800,1490.3747385405104
4,36,1.0,Beograd Opština Novi Beograd,108000,1735.3775474934005
5,28,1.0,Beograd Opština Stari grad,92000,2531.903872181951
6,49,2.0,Beograd Opština Zemun,89500,1230.719435933011
8,95,3.5,Beograd Opština Novi Beograd,149000,1735.3775474934005
9,39,1.5,Beograd Opština Novi Beograd,100000,1735.3775474934005
10,38,1.5,Beograd Opština Novi Beograd,100000,1735.3775474934005
11,66,3.0,Beograd Opština Novi Beograd,99900,1735.3775474934005
12,114.72,3.5,Beograd Opština Novi Beograd,263856,1735.3775474934005
13,74.14,2.5,Beograd Opština Novi Beograd,170522,1735.3775474934005
14,96.08,3.5,Beograd Opština Novi Beograd,216180,1735.3775474934005
15,62.22,2.0,Beograd Opština Novi Beograd,143106,1735.3775474934005
20,97,3.0,Beograd Opština Novi Beograd,237000,1735.3775474934005
21,70,3.0,Beograd Opština Novi Beograd,216000,1735.3775474934005
22,120,5+,Beograd Opština Zvezdara,169000,1461.4519261140167
23,87,4.0,Beograd Opština Voždovac,208800,1490.3747385405104
24,36,1.0,Beograd Opština Novi Beograd,108000,1735.3775474934005
25,28,1.0,Beograd Opština Stari grad,92000,2531.903872181951
26,49,2.0,Beograd Opština Zemun,89500,1230.719435933011
28,95,3.5,Beograd Opština Novi Beograd,149000,1735.3775474934005
29,39,1.5,Beograd Opština Novi Beograd,100000,1735.3775474934005
30,38,1.5,Beograd Opština Novi Beograd,100000,1735.3775474934005
31,66,3.0,Beograd Opština Novi Beograd,99900,1735.3775474934005
32,114.72,3.5,Beograd Opština Novi Beograd,263856,1735.3775474934005
33,74.14,2.5,Beograd Opština Novi Beograd,170522,1735.3775474934005
34,96.08,3.5,Beograd Opština Novi Beograd,216180,1735.3775474934005
35,62.22,2.0,Beograd Opština Novi Beograd,143106,1735.3775474934005
40,75,2.5,Beograd Opština Novi Beograd,105000,1735.3775474934005
41,71,2.5,Beograd Opština Novi Beograd,122000,1735.3775474934005
42,81,2.5,Beograd Opština Novi Beograd,178900,1735.3775474934005
43,63,4.0,Beograd Opština Palilula,63000,1282.912470736089
44,99,3.0,Beograd Opština Voždovac,159900,1490.3747385405104
45,28,0.5,Beograd Opština Zvezdara,37500,1461.4519261140167
46,39,1.0,Beograd Opština Zemun,47500,1230.719435933011
47,125,5.0,Beograd Opština Voždovac,148000,1490.3747385405104
48,58,2.0,Beograd Opština Savski venac,170000,2723.3487453316557
50,106,4.0,Beograd Opština Voždovac,199900,1490.3747385405104
51,100,3.5,Beograd Opština Zvezdara,215000,1461.4519261140167
52,56,3.0,Beograd Opština Palilula,61600,1282.912470736089
53,55,2.5,Beograd Opština Novi Beograd,81950,1735.3775474934005
54,51,2.5,Beograd Opština Palilula,55000,1282.912470736089
55,60,2.0,Beograd Opština Vračar,118000,2275.3672683163954
56,101,3.0,Beograd Opština Novi Beograd,202000,1735.3775474934005
58,83,3.0,Beograd Opština Vračar,159500,2275.3672683163954
59,76,3.0,Beograd Opština Vračar,159000,2275.3672683163954
60,75,3.0,Beograd Opština Novi Beograd,140000,1735.3775474934005
61,76,2.5,Beograd Opština Novi Beograd,135000,1735.3775474934005
62,71,3.0,Beograd Opština Novi Beograd,102000,1735.3775474934005
63,60,3.0,Beograd Opština Zvezdara,115900,1461.4519261140167
66,43,2.0,Beograd Opština Zvezdara,53700,1461.4519261140167
67,114,3.0,Beograd Opština Stari grad,299000,2531.903872181951
69,84,3.0,Beograd Opština Vračar,210000,2275.3672683163954
70,141,3.0,Beograd Opština Vračar,215000,2275.3672683163954
71,64.40,3.0,Beograd Opština Voždovac,119300,1490.3747385405104
